,Reason Lists,Labels
0,"“Hewitt, who supplied a number of photographs of bruising and injuries she alleges she obtained from the altercation, was admitted to Cedars-Sinai Medical Center after the incident, where police issued the emergency protective order and filed a report.”
“...stand against domestic violence...”
“...abusive toward her...”
“Get push notifications with news, features and more.”
“In court documents obtained by PEOPLE, Phillippe’s lawsuit denies the allegations, claiming Hewitt “broke into Phillippe’s home in the middle of the night without permission” and “fabricated a story in an unjustified attempt to extort money” from him to help her modeling career.”
“PEOPLE has reached out to both Phillippe’s and Hewitt’s attorneys.”
“Phillippe alleges Hewitt, 21, made a false police report accusing him of injuring her in the early morning of July 4 when the alleged incident is said to have taken place.”
“The actor also claims Hewitt was extremely intoxicated He further says in his suit that he was raised by women in a household where women s rights feminism and advocacy were very much at the forefront and he is sickened to have been falsely accused of domestic violence Phillippe tweeted...”
“...on Wednesday after the news of his lawsuit broke writing to be clear i have not had a girlfriend for over a year now have barely dated anyone since...”
“...any other labels or mis- characterizations, from media or gossips, related to anyone, briefly, connected to my personal life, are false.”He continued, “happy thanksgiving.”Authorities closed the criminal investigation regarding domestic violence against the actor in September.”","['Opinion', 'Sensational']"
1,"“For her sister Pippa’s wedding last May, she wore a blush pink midi dress also by Alexander McQueen, which matched the sash of Charlotte’s flower girl dress.”
“Kate is a pro at wedding guest style , always looking elegant without upstaging the bride.”
“Alexander McQueen for Prince Harry and Meghan Markle s wedding at St George s Chapel in Windsor...”
“Of course, it's the same designer who created Kate's wedding dress for her big day in April 2011.”
“Kate arrived at the service hand-in-hand with the bridesmaids, including daughter Princess Charlotte, 3, who were dressed in white with rose-adorned headbands.”
“She teamed her ensemble with a matching Philip Treacy hat and shoes by Jimmy Choo.”
“Though undeniably stunning, the Duchess' choice created a stir as wedding protocol dictates that only the bride wears white when tying the knot.”
“(Image: Getty)(Image: Getty) (Image: PA)Video Loading Video Unavailable Click to play Tap to play The video will auto-play soon 8 Cancel Play nowMany viewers took to Twitter to complain about the colour.”
“""I'm no wedding expert... but should Kate Middleton be wearing white to a wedding if it's not her wedding?""”
“""Is Kate Middleton srsly (sic) wearing white to the #RoyalWedding """" Kate Middleton : the only person in the world who can get away with wearing white at a wedding.""”","['Opinion', 'Satire', 'Sensational']"
2,"“Let us know in the comments section.”
“What are your thoughts on Robert's healthier lifestyle?”
“Source: BACKGRIDThe two co-starred in the film Lost City of Z, and it was reported Charlie got an icy reception from the 31-year-old, and maybe his interest in marijuana is why!”
“...partner is exactly what he needed to turn his life around...”
“He doesn t want to hang out with him or his other hard partying friends like Tom Sturridge or Eddie Redmayne Source BACKGRID But we haven t heard anything negative about FKA Twigs since they started dating in 2014 so it sounds like having a low profile and more mature...”
““Rob’s dismayed that Charlie Hunnam hasn’t given up his pot habit.”
“Article continues below advertisementSource: BACKGRID""He's matured a lot and become this very serious young man,” adds the source.”
“...of Twilight we can only imagine what happened after those infamous photos of Kristen Stewart making out with her movie producer boss while they were still together did to him...”
“Rob was basically a 24 hour pot smoker back in his Twilight days but since his relationship with Twigs got serious he s scaled back on all his vices and hardly ever drinks or smokes around other people Source BACKGRID If Robert drank due to being stressed with the fame...”
“Article continues below advertisementSource: BACKGRIDThe insider tells OK!”","['Opinion', 'Sensational']"
3,"“VIDEO: The Five Biggest Haircut Trends of 2020”
“...in January...”
“To help you figure out how to wear your hair in the new year we ve rounded up the five biggest haircut trends of 2020 so you ll be sure of what you want before you head to the salon...”
“Or, you can get the look instantly with the help of some clip in extensions.”
“...inspiration...”
“RELATED The 10 Hairstyles You ll See Everywhere This Winter But if you swear that 2020 is going to be the year you finally grow out your hair let Jennifer Lopez and Kim Kardashian s extra long lengths be your...”
“As seen on Kerry Washington, 2020's bob has textured, softer edges, and looks amazing whether you part it down the middle or off to the side.”
“But there will be a few tweaks.”
“For anyone with a blunt bob — the most popular haircut of the past few years — you probably already guessed that the cut will still be going strong into the next decade.”
“This decade's first big hair trends include looks at every length that can be tailored to your hair texture and personal style.”",['Satire']
4,"“5” by Lou Bega.”
“Also in attendance was Kourtney’s daughter Penelope, who held baby True on her lap while Dream busted an adorable move with the other children to the tune of “Mambo No.”
“A rendition of The Wheels on the Bus could be heard in a third video shared by the Good American mogul where a group of youngsters were dancing around to the famed kids song...”
“It s very cute Image zoom Khloé Kardashian and Kim Kardashian West with daughters True and Chicago Credit Kim Kardsahian Instagram In a pair of videos Khloé shared to her Snapchat account earlier this month Kourtney 39 picked up True and said I m gonna steal her for baby class...”
““Right now, Dream and Reign are super obsessed with each other.”“Chicago knows that she’s the oldest one out of the three babies and she definitely shows off a little bit in front of True, LOL,” Khloé reveals.”
“Image zoom Penelope Disick and True Thompson | Credit: Khloe Kardashian/SnapchatImage zoom True Thompson and Khloé Kardashian | Credit: Khloe Kardashian/SnapchatRELATED VIDEO: The Kardashian Kids“It’s so fun to see how they all interact and connect,” she says of the kids.”
“Click here to get those and more in the PEOPLE Babies newsletter.”
“I can’t wait to watch it continue!”Want all the latest pregnancy and birth announcements, plus celebrity mom blogs?”
“Explains the Keeping Up with the Kardashians reality star, “Seeing their strong little personalities bond with each other is the best thing to witness.”
“We have baby class once a week together with all of the kids and it’s incredible!” wrote Khloé, 34.”",['Sensational']
5,"“'My dad and Bruce were always really close — Kendall and Kylie even called my dad Uncle Robert which I loved.'”
“'I was seriously the luckiest girl in the world growing up because I had two amazing dads who not only loved us kids more than anything, but adored each other as well.”
“...had told her that he and Kris were not sleeping together at the time Khloe was conceived...”
“Different Khloe has often pointed out that she looks nothing like her older sisters and their mother Kris far right said once people asked whether she was the milkman s child Fighting back Khloe has responded to the claims today on Twitter She said Robert who is of Armenian descent...”
“Didn't look anything like the other three children.'”
“She was tall, had a different shape, light hair, curly hair.”
“She looked nothing like the rest.”
“'Khloe brought it up all the time.”
“She claims Khloe, who is married to Dallas Mavericks basketballer Lamar Odom, knew she had a different father to her sisters and younger brother Rob.”
“'And I said… ""OK"" and that was it.'”","['Satire', 'Sensational']"
6,"“Kim and Kanye - already parents to daughter North, four, and son Saint, 21 months - will welcome a baby girl via surrogate in January.”
“Youngest sibling Kylie Jenner, 20, is pregnant with her first child with rapper boyfriend Travis Scott, 25.”
“The former basketball star, 37 - whose divorce from the reality star, 33, was finalized in December 2016 - wished his former flame well during an interview on YouTube's Complex News Channel's morning show, Everyday Struggle, on Wednesday.”
“Odom told hosts Joe Budden, DJ Akademiks and Nadeska Alexis: 'From a distance, I wish her well.”
“I've still got love for her'.”
“Good times: Lamar Odom has publicly congratulated his ex-wife Khloe Kardashian on her reported 'pregnancy' (pictured in May 2012)Khloe is said to be 'four months along in her pregnancy' with her first child with Cleveland Cavaliers star Tristan Thompson, 26, according to Us Weekly.”
“Lamar - who was married to Khloe for four years - also spoke about the stress of receiving so much media attention while married to the Keeping Up With The Kardashians star.”
“'Some of the sh*t I did to myself… but yeah, it was a little smearing campaign I think going on,' he shared.”
“The former sportsman addressed drifting apart from ex brother-in-law Kanye West, 40, who is married to Khloe's sister Kim, 36.”
“He said: 'I would say it probably deteriorated with all the other relationships that were built.”",['Sensational']
7,"“RELATED: Jennifer Aniston Style: Her Best Fuss-Free Fashion Looks...”
“Other attendees of Paltrow's very A-list affair included Reese Witherspoon, Julia Roberts, Demi Moore, Kate Hudson and Chelsea Handler.”
“That is the best supportive group.""”
“""All her friends are around her.”
“""She won't fall in love anytime soon,"" the source noted when asked if she has plans to start dating.”
“Not long after her breakup, a source told ET that Aniston is currently taking time out for herself.”
“Since news broke of her split from Justin Theroux after two years of marriage, the former Friends star has yet to make a formal red-carpet appearance and has kept busy pampering herself and going out with her gal pals.”
“ET has reached out to Aniston's rep for comment.”
“The black splint served as an understated accessory, matching her long flowing black gown and strappy heels.”
“The 49-year-old actress arrived solo to Gwyneth Paltrow and Brad Falchuk's star-studded engagement party at the Los Angeles Theatre while sporting a mysterious brace on her left arm.”","['Satire', 'Sensational']"
8,"“On the track Jay clears the air about exactly what happened I said no to the Super Bowl You need me I don t need you Every night we in the endzone Tell the NFL we in stadiums too These are the kinds of lines we ve come to expect...”
“As Cardi B would say, that’s not a reliable source.”
“Taken together, they’re the culmination of decades worth of perfecting the craft of controlling the narrative.”
“Each album has given us the plot twists, conflicts, and resolution we’ve become accustomed to consuming through every form of media besides music.”
“Everything Is Love completes The Carters’ trilogy of albums that began with Beyoncé’s 2016 project Lemonade and continued with Jay’s 2017 release 4:44.”
“Nowhere is that strategy more evident than on their new album.”
“They’ve basically monetized their gossip.”
“Rather than giving outlets and social media the details of their private lives, they give us updates through their songs.”
“When the time comes to unleash a new provocative detail, it always seems to come at the perfect and most commercially viable moment.”
“Like everything else they do, it’s calculated.”",['Sensational']
9,"“REUTERS/Mark BlinchOnline Editors...”
“2017”
“Photo by Michael Kovac Getty Images for for J P HRO Gala Author First They Killed My Father Loung Ung Director designer by Rithy Panh Maddox Chivan Jolie Pitt Shiloh Nouvel Jolie Pitt Angelina Jolie Composer Him Sophy and guest attend Bangsokol A Requiem for Cambodia at BAM Brooklyn Academy...”
“...of Music on December 16 2017 in New York City...”
“Photo by Cindy Ord Getty Images for Brooklyn Academy of Music Actors Brad Pitt and Angelina Jolie C with children L R Pax Jolie Pitt Zahara Jolie Pitt Knox Jolie Pitt Shiloh Jolie Pitt and Maddox Jolie Pitt attend the World Premiere of Disney s Maleficent starring Angelina Jolie at...”
“...the El Capitan Theatre on May 28 2014 in Hollywood California...”
“(Photo by Charley Gallay/Getty Images for Disney)Brad Pitt; Pax Thien Jolie-Pitt, Shiloh Nouvel Jolie-Pitt and Maddox Jolie-Pitt attend the ""Unbroken"" Los Angeles premiere held at the TCL Chinese Theatre IMAX on December 15, 2014 in Hollywood, California.”
“(Photo by JB Lacroix/WireImage)Angelina Jolie with husband Brad and some of their six children.”
“Brad Pitt attends the premiere of Amazon Studios' ""The Lost City Of Z"" at ArcLight Hollywood on April 5, 2017 in Hollywood, California.”
“(Photo by Rich Fury/Getty Images)Angelina Jolie has reportedly been ordered to allow Brad Pitt to spend more time with their children.”","['Agenda Driven', 'Opinion', 'Sensational']"
