,Reason Lists,Labels
0,"“Yesterday was a living nightmare.”
“...perri christinaperri October 2 2017 My has many emotions today...”
“Thank you, Tom Petty, for all of the light you brought to the world.”
““you belong somewhere you feel free.” — John Mayer (@JohnMayer) October 2, 2017“Thank you, Tom Petty, for all of the light you brought to the world,” Ed Helms said.”
“I loved Tom Petty and I covered his songs because I wanted know what it felt like to fly.”
“❤️ #RIPTomPetty — Sheryl Crow (@SherylCrow) October 2, 2017“I loved Tom Petty and I covered his songs because I wanted to know what it felt like to fly,” John Mayer wrote.”
“We will miss you.”
“You brought us so much joy, @tompetty.”
“Vegas and now a great music hero has passed.”
“We will miss you.”This is unbearable.”","['Satire', 'Sensational']"
1,"“Follow...”
“Now On Spotify!”
“The Weight of These Wings will include 24 new songs from Lambert, including her latest single, “Vice.” Give it a listen in the video below.”
“Called The Weight of These Wings, the album will make its debut on November 18th.”
“While Shelton is completely devoted to The Voice right now, Lambert is preparing for the release of a double album.”
“Although Shelton and Lambert were both at the ACM Honors in August, they never encountered one another at the event.”
“The contact confirmed to Gossip Cop that the supposed meeting between Shelton and Lambert is “completely made up.“In addition, Shelton hasn’t even been in Nashville since August, likely due to his commitments for The Voice.”
“A contact close to Shelton and Lambert got in touch with Gossip Cop, a website known for exclusively debunking rumors and falsified reports in the entertainment industry.”
“It turns out the rumors are simply that, rumors.”
“So is there any truth to the rumors?”","['Opinion', 'Sensational']"
2,"“We're grown ups, and we're going to take our time and we're going to do things at our own pace.""”
“""I've made plenty of mistakes in my past and [...] we're mature now.”
““We have to take our time,"" she told Good Morning America in June.”
“Between work, family and their relationship, the star doesn't have any complaints — though she realizes it's all about balance.”
“Lopez has said she's ""blessed"" to be with Rodriguez.”
“MILA KUNIS SAYS SHE WAS TO BLAME FOR 'HORRIBLE' MACAULAY CULKIN BREAKUP: 'I'LL BE THE FIRST TO ADMIT IT'The A-list couple, Lopez’s twin children and Rodriguez’s two young daughters were all in the Bahamas together on Tuesday, People reports.”
“Rodriguez later followed up that post with another gallery, captioned “Birthday girl .”The gallery included several shots of the famous duo together, including an image of them on bicycles.”
“I love you mucho Macha 13.”KARLIE KLOSS AND JOSH KUSHNER ARE ENGAGEDSeveral solo shots of Lopez were included in the mix, as was a photo of a neon sign.”
“For someone who has been about giving everything she has 365 days a year—to our children, our families, the world—I hope today, we can give you all the happiness you deserve.”
“).”The 42-year-old continued, “I see firsthand how that’s changed for Jennifer, and how she’s found joy in sharing with others.”",['Sensational']
3,"“Let us know!”
“Is he right, or just downright rude?”
“HollywoodLifers, what do you think of Rob’s response to Blac trying to rap?”
“We have no idea how good Blac would be at rapping, but we certainly would be interested to hear it, ESPECIALLY if she spills the tea on her split with Rob in a diss track!”
“Perhaps she’s become inspired by her pal Nicki Minaj, who recently rapped about her on the track “Rake It Up,” and even invited her to be in the music video!”
“The reason rumors exploded that Blac would be trying her hand at the rap game is because she was spotted walking into Capital Records with her lawyer, and MTO reports that they offered her a $1 million recording deal.”
“We all remember the cringe-worthy song by Britney Spears’ ex Kevin Federline, “Popozao.” The world doesn’t need a repeat of THAT atrocity.”
“He is actually kind of looking forward to see her fail and thinks she will be even worse than K-Fed.” Yikes!”
““And even if she goes after Rob in her raps he thinks she will be so bad that it won’t matter because she will just be embarrassing herself.”
““Rob has had some major laughs thinking about Blac Chyna trying to rap,” an insider told HollywoodLife.com EXCLUSIVELY.”","['Opinion', 'Satire', 'Sensational']"
4,"“...is with husband Justin...”
“The trip is going to be a blast claims the source who adds I imagine Brad and Jen will steal private moments to they can have some emotional heart to hearts Reps for both Brad and Jen have denied Star s story and Jen has long said how happy she...”
“The magazine claims that Jen has booked a $10,000 a night chalet featuring multiple fireplaces and hot tubs.”
“Jen thought it was genius.”
“‘He pointed out that they could even hit the slopes together, since no one would recognise them in their ski masks, goggles and helmets.”
“‘He said he could fly over in his private jet and meet up with her there.”
“‘When Jen mentioned that she was planning to go skiing with friends in Aspen after New Year’s, a light bulb went off in Brad’s head,’ claims Star’s source.”
“While she will be accompanied by close friends, it seems there is room for Brad.”
“‘Jen has been a real source of comfort and strength for Brad, and during their long talks, they realised just how strong their bond still is.’The publication goes on to claim that the duo have arranged to meet up on a skiing break.”
“‘They’ve been growing closer ever since Jen reached out to Brad after his split from Ange,’ a source told Star.”",['Sensational']
5,"“Their friendship has blossomed from there.””
““They were practically inseparable at the Vogue party at Annabel’s (nightclub), and again the following night at a Miu Miu fashion party where Rob was trying to be really low key.”
““Rob looked smitten with Mabel and they spent two nights glued to each other,” an insider informs the publication.”
“...end parties together...”
“Try refreshing your browser or Robert Pattinson in new relationship Report Back to video Sources tell The Mirror the alleged lovebirds were practically inseparable during London Fashion Week last month and appeared enamoured with each other as they circulated high...”
“...tap here to see other videos from our team.”
“We apologize, but this video has failed to load.”
“...of musicians Neneh Cherry and Cameron McVey...”
“The Twilight star called an end to his engagement with musician Twigs in October after a three year relationship and it appears he has since moved on with rumours suggesting he now has his eyes set on Mabel the daughter...”
“Article contentActor Robert Pattinson is reportedly getting close to singer Mabel after splitting from Fka Twigs.”",['Satire']
6,"“Tell us below!”
“We’re swooning over how cute they are together.”
“Not only has he been giving her ‘so much support’ ahead of her AMAs performance, but he’s also been taking care of her.”
“Here’s how!”
““[Selena Gomez] has been rehearsing like crazy, but she’s still dealing with a lot of nerves ahead of the [American Music Awards].”
“Justin [Bieber]‘s been amazing… he’s giving her so much support, telling her how great she’s going to do.”
“He’s been pumping her up, saying exactly what she needs to hear,” a source close to the singer tells HollywoodLife.com EXCLUSIVELY.”
““Justin hates seeing Selena stress out.”
“She’s been so busy getting ready for the AMAs, she doesn’t have as much time to take care of herself.”
“Justin worries that she doesn’t eat enough, so the other day when she was in rehearsals, he had her favorite deli in Beverly Hills deliver some soup.”","['Opinion', 'Satire', 'Sensational']"
7,"“You may be able to find more information about this and similar content at piano.io...”
“This content is created and maintained by a third party, and imported onto this page to help users provide their email addresses.”
“Due to the gaping 21-year age difference between Gomez and Theroux, it's likely that The Leftovers star and the ""Fetish"" singer are no more than friends—but in the small world of Hollywood, crazier things have happened.”
“But more recent reporting suggests that the pair are strictly platonic.”
“BACKGRIDLike Gomez, Collins has also been linked to The Leftovers star, with romance rumors following shortly after Theroux and Aniston's public breakup back in February.”
“...and Theroux Petra Collins...”
“In early May the two were spotted together in New York City on a group outing with a whole crew of A list pals including Paul Rudd and his wife Julie Yaeger Rooney Mara and photographer friend to both Gomez...”
“There's certainly truth that Gomez and Theroux have been spending some time together.”
“...between her Theroux and Gomez her former husband of two years and friend respectively...”
“It s all simply speculation no confirmation has come from Gomez Theroux or either of their reps though Life Style s source adds fuel to the gossip by suggesting that Jennifer Aniston is not happy about the rumored love connection...”",['Sensational']
8,"“Email us at tips@radaronline.com, or call us at (866) ON-RADAR (667-2327) any time, day or night.”
“Do you have a story for RadarOnline.com?”
“We pay for juicy info!”
“Straight Shuter‘s Rob Shuter has all the latest gossip.”
“Tickets are now available online.”
“Opening night for Friends The Musical is October 13.”
“She sees the hit show as her legacy and will not hesitate to take legal action if she doesn’t like the way she is being portrayed in the theater remake, Radar can reveal.”
“She will do just about anything to protect her brand, as her portrayal of Rachel is what launched her into stardom in the first place!”
“Sources have told Straight Shuter that Aniston and her lawyers will be taking a very close look at the script before the show is officially produced.”
“The show will bring back all six main characters from the original 1994-2004 series, but the sitcom’s main diva is not too sure it’s a good idea for the legendary comedy.”","['Satire', 'Sensational']"
9,"“A complete list of winners is below.”
“Israel Del Toro with the Pat Tillman Award for Service, Bryan Cranston honored retired Los Angeles Dodgers announcer Vin Scully with the Icon Award, and New Orleans Saints superfan Jarrius “JJ” Robertson was honored with the Jimmy V Perseverance Award.”
“Also during the show, Michelle Obama presented the Arthur Ashe Courage Award to Special Olympics Founder Eunice Kennedy Shriver, Jon Stewart presented Master Sgt.”
“Momentum by momentous men.""”
“This is the culmination of 108 years of momentum.”
“Drinking champagne in honor of the Cubs, Murray joked that ""108 years of waiting is hardly a 'moment.'”
“Bill Murray appeared on stage to accept the best moment award on behalf of the Chicago Cubs, who won for the team's first World Series since 1908.”
“The winners of the awards were chosen entirely through online voting.”
“Peyton Manning hosted the 25th annual event, which aired live at 8 p.m ET on ABC.”
“Getty ImagesThe worlds of entertainment and sports collided on Wednesday night when the ESPY Awards were handed out in Los Angeles.”","['Opinion', 'Sensational']"
10,"“It's the way you feel about somebody and the commitment in your heart.""”
“There are pockets of sadness.""”
“I'm going to have a girls' night.'”
“But it's about living in the moment and feeling every tinge of pain, then waking up the next day and going, ‘All right, I'm going to ride my ponies.”
“I don't necessarily want to know that I have really bad, long, lonely nights ahead of me, but I have had some, and I still have a bunch ahead of me.”
“""Some of that might mean nights on my porch crying, drinking whiskey, and going, ‘Man, this sucks right now.'”
“""I just want to live a life full of everything,"" she told the magazine.”
“She also said she was ""not going to be one of those artists who wallows in my misery so I can be artistic.""”
“My favorite records are not because people lived fully happy lives.”
“That's where I'm gonna live.”",['Satire']
11,"“Please visit the source responsible for the item in question to report any concerns you may have regarding content or accuracy.”
“The news articles, Tweets, and blog posts do not represent IMDb's opinions nor can we guarantee that the reporting therein is completely factual.”
“This content is published for the entertainment of our users only.”
“In reference to the rumored romance between Scarlett Johansson and “ Weekend Update ” anchor Colin Jost , as […]IMDb.com, Inc. takes no responsibility for the content or accuracy of the above news articles, Tweets, or blog posts.”
“That’s the claim in one of this week’s new tabloids, but Gossip Cop has the truth.”
“Is “ Saturday Night Live ” creator Lorne Michaels angry about members of the sketch show’s cast and crew hooking up with celebrity guest hosts?”",['Sensational']
12,"“Both stars have projects to promote at Sundance – Darren, 43, has been showcasing his new virtual reality project, SPHERES: Songs of Spacetime, while 26-year-old Suki stars in upcoming movie Assassination Nation, alongside Bella Thorne.”
“Back to videoDarren was photographed with his arm around the British beauty as they took an afternoon stroll and stopped by a restaurant.”
“Try refreshing your browser, or Are Darren Aronofsky and Suki Waterhouse dating?”
“...tap here to see other videos from our team.”
“We apologize, but this video has failed to load.”
“The Black Swan director split from actress Jennifer Lawrence in November, and it appears he has a new woman in his life after stepping out with Suki on Monday, while attending the Sundance Film Festival in Park City.”
“Article contentFilmmaker Darren Aronofsky has sparked rumours of a new romance with Suki Waterhouse after enjoying a cosy lunch date with the model and actress in Utah.”","['Agenda Driven', 'Journalism', 'Opinion', 'Satire', 'Sensational', 'Wiki']"
13,"“Eagle-eyed fans tweeted their excitement, hoping that they could “maybe start over again …but this time it means forever.” Sadly for these fans, the only way they can see Bella and Edward back together is in the pages of Stephenie Meyer’s books.”
“...where they can be friendly when they see each other in public...”
“Kristen Stewart and Robert Pattinson reunited and got ‘Twilight’ fans buzzing, but we’ve EXCLUSIVELY learned if these two exes are getting back together or not.”
“For one moment, Edward Cullen and Bella Swan was once again a couple and all was right in the world for Twilight fans.”
“Ex-lovers Robert Pattinson, 28, and Kristen Stewart, 32, attended Lily-Rose Depp’s 19th birthday party on June 1.”
“However, don’t expect their love to rise from the grave.”
““There’s no chance of any kind of romantic reconciliation for Rob and Kristen,” a source close to Rob EXCLUSIVELY tells HollywoodLife.com.”
““That ship has well and truly sailed, and way too much has passed between them to ever reunite in that way.”
“Plus Kristen is really happy with Stella Maxwell they have an amazing relationship While there s no chance that RPatz and KStew will date again it s not all bad as the source tells HollywoodLife com that Rob thinks it s great that they ve finally got to a place...”
“Rob would love to see more of Kristen he still cares for her deep down and probably always will she was his first real love As for Kristen she feels a little awkward when she sees Rob because she still carries a lot of guilt from how their romance ended...”","['Satire', 'Sensational']"
14,"“Share it in the comments below.”
““She’d be beyond thrilled to win an Academy Award for Best Actress — something that’s evaded both her and Angelina.”“He still considers Jen the love of his life,” the source concluded.Have something to add to the story?”
““He wants Jen involved again as he produces and develops more and more high-quality film and cable TV products.”That kind of professional partnership could pay off for Jen, too, since the insider states she wants in on “prestige projects” under his production banner.”
“Machine star wants Jen to be his partner in other pursuits In Touch further reported They worked well together when they formed the production company Plan B in 2001 an insider close to Brad told In Touch...”
“Jennifer has been married to Wanderlust co star Justin Theroux for two years now And while Brad would never dream of ruining his ex s new marriage he would take a second chance at love with Jen in a heartbeat If they can t be romantic partners though the War...”
“Brad keeps telling friends that he’s seeing everything more clearly.”However, these realisations are obviously far too late.”
““And while he’s not in love with Jen, he realises how much he does love her.”
““He has come to realise that leaving Jen for Angelina was one of the biggest mistakes of his life,” the source adds.”
“And now, he’s “in touch with emotions and his true self like never before,” the source says.And it seems like this self-awareness comes with some great realisations.”
“Years later, Brad regrets leaving the Friends star for his now-ex Angelina Jolie, a source told In Touch exclusively.Following his 2016 separation from Angie, Brad sobered up and sought therapy.”",['Sensational']
15,"“[Featured Image by Pascal Le Segretain/Getty Images for Vogue]”
“Apart from meeting with a therapist, Kim Kardashian also arranged a meditation for her younger sister upon learning about Kendall’s dilemma.”
“The latest report from OK!”
“...via Gossip Cop alleges that the Victoria’s Secret model is a “boss from hell” who makes life tough for the people who work for her.”
“Everyone thinks she s the sweetest shyest Kardashian sister but over the last year she s made so much money and won so much praise that it s gone to her head The magazine s so called insider recalled an instance when Kendall s assistant served her the wrong kind...”
“...of iced tea and instead of being grateful Kendall reportedly made her pay for a new one out of pocket The insider also purported that the runway model would fire employees who would attempt to talk about her behind her back...”
“What she allegedly does is to tell her mother, Kris Jenner, that the employee is incompetent.”
“However, Gossip Cop shed some light on the issue and confirmed through a source close to Kendall that the magazine’s claims are unfounded.”
“As someone who has firsthand experiences of bullying, it isn’t fair if Kendall would do the same to her team.”
“Just last month, Victoria’s Secret Angel Adriana Lima defended Kendall from bullies and acknowledged her pleasant attitude.”","['Opinion', 'Sensational']"
16,"“She feels the weight of the world on her shoulders right now, and her family’s desperately worried about her.””
“However, the source still described the situation best by saying that “There are still some major demons that Britney has to fight on a daily basis, and her workload never lets up.”
“Despite a tumultuous custody battle with ex Kevin Federline, Radar Online reports that Britney Spears may have other things on her plate that would explain her erratic behavior.”
“The publication broke the news that Spears is desperate for Sam Asghari her current love interest to propose but he s dragging his feet and stalling After completing a successful run of shows in Las Vegas Spears allegedly immediately turned her attention to tying the knot with her 23 year...”
“...old boyfriend...”
“The same source claims that the real reasoning behind Spears being impatient is because of her immediate urge to have children with Asghari.”
““All she can talk about right now is having a baby.”
“She wants a girl so bad and she’s madly in love with Sam.”Asghari however, apparently is hesitant to act on Spear’s marriage advances, citing that he may not be mentally ready to completely settle down with the famous performer.”
“While this all occurs, Spears also is caught up in a heated legal battle with ex, Federline.”
“He is reportedly asking the star for more money in spousal and child support to help take care of himself along with their young children, Sean and Jayden.”","['Satire', 'Sensational']"
