,Similar sentences,Labels
0,"""This is the complete list of all the winners!""
""And then, Jennie comes on stage and kisses Winslet
""Then the actress specifically pointed out that Alison Jennie was the person she admired very much.""
""One of the highlights of this year's awards ceremony was Kate Winslet, who was honored for her performance in the new film"" Wonder Wheel ""by Woody Allen, and praised the room's creativity at the beginning of the speech.""
""This is the third time in a row that James cordon has presided over the event.""
The ceremony was held at the Beverly Hilton Hotel in Beverly Hills, California
""The Hollywood Film Awards have been held annually since 1997.""
""The 2017 Hollywood film awards ceremony was held on November 5, and this year's awards season has begun.""
",
1,"""So as a parent, it's terrible, it's really terrible - but he's totally willing to live and die according to his own art, he just doesn't care what other people think.""
""Jaden is 100 percent fearless, he will do anything,"" will said
""But will had nothing but praise for his son, who also shocked fans when he took part in the Louis Vuitton women's wear campaign in a skirt.""
""In 2016, will admitted that the way they didn't intervene in parenting could be a"" mistake. "". ""I think we may have gone too far,"" he told BBC Radio 1Xtra
""The freedom they give their children often seems to be controversial.""
""When you go into the world, you understand things."" Jada and will's parenting style has always been a hot topic
""It just makes you appreciate being at home, being with your parents, having a good time with your family,"" he said
""But for Jarden, who was raised by famous parents Jada and Willl Smith, he said he needed to get out of the Hollywood bubble.""
""Jada added that she was comfortable with Jaden leaving the nest because of his maturity and the fact that he was already managing his life.""
""It's time he left home."" Jaden, 19, attended parenting talks with his mother, sister willo Smith and grandmother Adrian Banfield Jones
",
2,"""Embedded code restart"" content: Andy Cohen's reaction to the return of LuAnn de Lesseps to rehab. LuAnn de Lesseps checks herself into rehab for a second time. LuAnn de Lesseps is sued by her ex husband and their children
""At this time, we want everyone to respect her privacy.""
""On Wednesday night's live show, Tinsley Mortimer revealed that dreiseps decided to send himself to rehab for the second time after completing his alcohol treatment program in January.""
""I'm totally shocked because I'm proud of her,"" Mortimer, 42, told host Andy Cohen
""I took a picture in Palm Beach, too, and I just feel like I've turned it around.""
Mortimer's case of Palm Beach robbery was arrested in December last year for drunkenness, resisting arrest and beating a law enforcement officer
""The reality star was charged in January with violent resistance to a police officer and misdemeanors of trespassing and disorderly drunkenness.""
""I think that's what she did,"" Mortimer said. ""The song and dance performances are wonderful. I'm proud of her. It's sad.""
""I wish her all the best and hope she can solve everything.""
""Bravo confirmed in a statement to ET on Monday that the 53 year old dreiseps has been admitted to the rehabilitation center.""
",
3,"""They got engaged again immediately, and since then, there have been many rumors about their marriage.""
""Having children is Miley's dream,"" they said
""According to media reports, the couple plan to hold another wedding in Australia, in order to let Liam's family more involved.""
""Neither Miley nor Liam shared their rumored wedding day photos, but this is not their last chance.""
""According to the report, Chris and Luke Hemsworth both looked at Miley and Liam and said 'I do.'
""Liam's famous family also participated.""
""Miley's parents, Billy Ray and Tracy Cyrus, as well as his brothers and sisters Noah, tres, brandy, Bryson and Christopher were all present.""
""The fiery red lipped Wayne Coyne also performed a few songs.""
She sang godmother Dolly Parton's song ""islands in the stream""
Life and fashion magazine reported that Millie did not invite others to perform at the wedding, but performed in person
",
4,"""This post has no title, so its meaning has not been decided yet.""
""Fortunately, we heard that there was a unique bond between them.""
""The couple in the rumor even went hiking in matching clothes What good is that? ""
""Are they Dating?""
""25-year-old Carla delaviny and 20-year-old Paris Jackson have been stirring up romantic rumors, and their recent outings just add fuel to the fire.""
""On May 3, they attended the opening ceremony of Longchamp Fifth Avenue store. Just a few hours later, they were found wandering together in New York City.""
Paris wore a white printed T-shirt, jeans and black boots, while the stars of papertown wore striking similarities: white vests, Bermuda jeans shorts and Black Knee High Boots
""Although the two women have yet to confirm whether they are dating, fans are eager to know about their relationship.""
""Carla and Paris are crazy about each other,"" a source close to the British model said in an exclusive interview with Hollywood life
However, the most interesting thing about this photo is that there is also a huge red lipstick on her cheek.
",
5,"""The president is an avid social media user who has yet to respond to today's tax protest on twitter.""
""This is because the Senate Intelligence Committee is investigating the relationship between Trump's senior aides and Russia.""
""The scale of the so-called tax parade is smaller than that of the women's parade that attracted more than 5 million protestors around the world after trump took office in January, but it still attracts huge crowds from all over the country.""
""The main protest today is to ask trump to disclose his tax returns.""
""During the campaign, trump promised to release the tax after the IRS completes its audit of the tax.""
""He did not.""
""(note that Trump's 2016 tax will be immediately audited this year.)
""Critics believe that Trump's tax returns may disclose personal or financial relationships that affect the presidential campaign and / or the current government.""
""Like the women's March, some celebrities protest through social media.""
""Thanks to all of you in taxmarch, you all love America more than that stupid idiot sitting in his dirty golf club now - Ike bariholtz (@ ikebarinholtz) 2017jon Cryer has posted a logo in the"" Star Wars ""fanatical play footage
",
6,"She did a good job of embarrassing her mother and said her 12-year-old daughter was crazy about Harry
Meanwhile, Kaya joined her mother on the cover of Paris fashion magazine in April, choosing an all black suit with a sleeveless top, skinny jeans and a pair of Chelsea boots
""However, the 14-year-old seems to be testing whether she is a blonde. She posted a picture of herself wearing a platinum wig on instagram yesterday.""
""But it's not a permanent new approach - she assured her followers it's just a little wig with a smiley face emoticon.""
""Try a new 'do it!""
Kaia Gerber showed off a short blonde wig on instagram on Thursday: Kaia, 14, has long brown hair that goes down to her waist - much like her mother's hair! ""
""Kaya often compares herself to her mother, with the same features as a supermodel - the same long legs - with smooth hair and bold dark eyebrows. The young model looks more like singer Rita Ola than her mother in a one-time photo.""
""At shoulder length, the wig is also much shorter than her real hair, which usually goes down to the waist.""
""Kaya let her brown hair flow out of her lunch with her mother and one-way star Harry stiles, and shared this picture a few hours later.""
""A stop at Cafe Habana in Malibu shows the 22-year-old singer enjoying a meal with her 50 year old supermodel, husbands Rande Gerber and Kaia.""
",
7,"""Water Louis sequila, Victoria and Abdel Consuela tapboyle visual effects...""
""Dorota kobiela Hugh welchman Sean Bobbitt Ivan MacTaggart Hugh welchman animated short film dear basketball Glen Keane Kobe Bryant garden party winner Caire Gabriel grapperon Lou Dave Mullins Dana Murray negative space Max Porter Ru kuwahata reversing rhyms Jakob Schuh Jan lachauer adapted screenplay"" call me your name James ivory ""...""
Guillermo del Toro's the shape of water continues its winning streak at the awards ceremony, leading with 13 nominations
Dunkirk followed with eight nods, and Martin MacDonald's three billboards out of Missouri followed with seven nods
""All three films were nominated for best picture.""
""The rest of the awards were replaced by"" call me your name "","" the darkest moment "","" go away "","" phantom line "","" Miss bird ""and"" post "". The second Oscars, hosted by Jimmy Kimmel, will be broadcast on ABC on March 4
""Here's the list of best picture nominations for the 2018 Oscars. Please call me your name at the darkest moment. Dunkirk goes out Lady Bird mirage line, the shape of water behind three billboards, ebb tide. Missouri chief actor Timothy chalamit, please call me your name Daniel Day Lewis mirage line Daniel...""
""Karuya comes out of Gary Oldman's darkest moment Denzel Washington Roman J Israel ESQ heroine Sally Hawkins water shape Francis mcdorman and three billboards out of the ebb Missouri margotrobi I Tonia sayilsronan lady Kyle Streep supporting actor William Dafoe Florida project woody hallerson III..""
""Missouri billboard Richard Jenkins the shape of water Christopher Plummer all the world's qiansam Rockwell three billboard supporting actress Mary J. blaig confused Alison Jennie Tony Leslie Manville phantom line Laurie Metcalf Lady Bird Octavia Spencer the shape director of water...""
""Dunkirk Christopher Nolan out of Lady Jordan peel bird Greta wig phantom thread Paul Thomas Anderson water Guillermo del Toro shape cartoon boss baby Tom McGrath Ramsey annetto breadwinner Nora Tommy Antonio CoCo Lee Unkrich Dara K Anderson Ferdinand Carlos Saldanha love Vincent...""
",
8,"""You can find more information about this and similar content at: piano.io...""
So I told John not to go in through the side door, for if anyone leaks first, others will expect you to go in through the side door
According to people, Rose Marie terenzio, executive assistant who accompanied Kennedy to the hotel on the same day, said the one and a half hour meeting in Diana suite was far more naive than those rumors said
""They just talked about Diana appearing on the cover of JFK political magazine George, but it was not easy to organize this meeting.""
""I remember him saying,"" it's impossible for someone not to let it out. ""
""There will be paparazzi everywhere,"" said terenzio
""He was suggested to dress up, and I said it was ridiculous.""
""You can't do that! ""Princess Diana left the Carlisle Hotel in New York in 1995.""
""Getty Images thanks JFK Jr. for agreeing that he and terenzio have come up with the best way to get into Carlisle unnoticed.""
""I remember the last time I went to Carlyle for an event, there was no photographer at the front door,"" trenzio told people
",
9,"""In November, model Gigi mocked Melania trump in her speech at the American Music Awards, and there was strong opposition.""
“7.”
""Lochte lost his sponsorship because of this incident, and the Olympic Committee banned him from swimming until June 2017.""
“… Once the contradiction becomes obvious... ""
""The lie of Ryan rochett when he went to Rio for the Olympic Games in the summer, Ryan rochett had a lot of good feelings for him, but the swimmer who wanted to be in the spotlight was labeled as a liar because he claimed that he was robbed with a gun in Brazil, and then abandoned the story...""
“3.”
""Since then, however, she has avoided controversy and done charitable work, which is likely to bring her back to the forefront of twitterverse.""
""These events make swift's fans doubt whether the actress is a mean girl of celebrities.""
""She released a recording of Swift's conversation with West in favor of using her name on the track.""
West insisted that he had the pop star's permission to include her in his songs, and in July, Kim Kardashian was ready to prove it
",
